P O2 - bar,Temp. - K,Conc. MP - molar,Tempo - h,pH,Reagente,Produto,Conv. - %,Sel. - %,Rend. - %
1,333,1,0.5,10,glucuronic acid,glucaric acid,,,72
1,328,0.2,2,10,gluconic acid,glucaric acid,55,70,38.5
1,318,,6,,glucose,glucaric acid,100,25.3,25.3
0.2,323,,6,9,glucose,glucaric acid,84.9,1.2,1
12,373,0.25,2,,glucose,glucaric acid,100,,50
5.15,353,552,5,,glucose,glucaric acid,,,53
1,318,0.56,6,,glucose,glucaric acid,100,9.3,9.3
1,318,0.56,24,,glucose,glucaric acid,100,25.3,25.3
13.8,353,0.61,10,7.2,glucose,glucaric acid,99,74,73
13.8,353,0.61,3,7.2,glucose,glucaric acid,99,58,57
10,333,328,3,,glucose,glucaric acid,100,25,25
1,333,0.6,7,9,glucose,gluconic acid,97,96,
2.3,338,123,2,4,glucose,gluconic acid,75,99,
2.3,338,123,2,1.6,glucose,gluconic acid,75,96,
2.3,338,123,2,4,glucose,gluconic acid,91,99,
15,343,0.55,4,,glucose,gluconic acid,12,12,
3,373,0.23,6,9.5,glucose,gluconic acid,100,99,99
1,313,0.61,6,9,glucose,gluconic acid,30,97,29.1
9,313,1.39,,9,glucose,gluconic acid,100,99,99
5,383,1 *,3,,cellobiose,gluconic acid,52,29,15.08
30,433,0.02,1,,glucose,glucaric acid,100,3.4,3.4
10,418,0.03,3,,cellobiose,gluconic acid,100,88.5,88.5
1,323,0.4,3,9,glucose,gluconic acid,100,76.4,76.4
1,333,328,0.33,9.5,glucose,gluconic acid,80,100,80
1,278,0.22,0.33,11.5,glucose,glucaric acid,100,85,85
1,333,1,2,9,glucose,glucaric acid,59.4,16.3,96.8
1,333,1,2,9,glucose,gluconic acid,59.4,73.5,43.6
1,333,1,2,9,glucose,gluconic acid,100,100,100
1,333,1,2,9,glucose,glucaric acid,100,0,0
1,333,1,1.5,9,glucose,glucaric acid,58,8.5,4.93
1,393,0.2,18,,glucose,glucaric acid,78,4,3.12
1,393,0.2,18,,glucose,gluconic acid,78,86,67.08
1,343,1,3,,glucose,gluconic acid,23,27.9,6417
1,313,0.2,18,,glucose,gluconic acid,75,100,75
1,313,0.1,3,9,glucose,gluconic acid,100,100,100
1,323,328,,9.5,glucose,gluconic acid,100,98,98
2.3,338,167,2,,glucose,gluconic acid,89,99,88.11
1,303,1,1,6,glucose,gluconic acid,100,98,98
1,323,3,1,9.5,glucose,gluconic acid,100,80,80
1,333,0.4,3,9,glucose,gluconic acid,99,100,99
1,313,0.5,,9,glucose,gluconic acid,90,98.5,88.65
1,323,0.18 g/mL,,9.5,glucose,gluconic acid,44.1,81.9,36.11
1,313,,,9,glucose,gluconic acid,100,100,100
1,313,0.1,,9,glucose,gluconic acid,100,99,99
1,313,0.1,,9,glucose,gluconic acid,100,99.8,99.8
1,313,0.5,8,9,glucose,gluconic acid,96,99.5,95.52
1,333,0.6,7,9,glucose,gluconic acid,85,77,65.45
1,323,1,4,9.25,glucose,gluconic acid,,,100
1,323,1,2,9.25,glucose,gluconic acid,,,96.4
1,323,0.23,0.11,9.5,glucose,gluconic acid,93,99,92.07
6,353,0.25,6,9.5,glucose,gluconic acid,100,97.9,97.9
